PERMNO,date,TICKER,RET
89848,08/29/2016,AGG,0.002760
89848,08/30/2016,AGG,-0.000533
89848,08/31/2016,AGG,-0.000178
89848,09/01/2016,AGG,0.000867
89848,09/02/2016,AGG,-0.001334
89848,09/06/2016,AGG,0.002137
89848,09/07/2016,AGG,0.000533
89848,09/08/2016,AGG,-0.003463
89848,09/09/2016,AGG,-0.004366
89848,09/12/2016,AGG,0.000805
89848,09/13/2016,AGG,-0.002772
89848,09/14/2016,AGG,0.001255
89848,09/15/2016,AGG,0.000627
89848,09/16/2016,AGG,0.000716
89848,09/19/2016,AGG,-0.000805
89848,09/20/2016,AGG,0.000358
89848,09/21/2016,AGG,0.002506
89848,09/22/2016,AGG,0.002053
89848,09/23/2016,AGG,-0.000267
89848,09/26/2016,AGG,0.001247
89848,09/27/2016,AGG,0.001246
89848,09/28/2016,AGG,0.000267
89848,09/29/2016,AGG,0.000000
89848,09/30/2016,AGG,-0.001066
89848,10/03/2016,AGG,-0.001128
89848,10/04/2016,AGG,-0.003390
89848,10/05/2016,AGG,-0.001343
89848,10/06/2016,AGG,0.000000
89848,10/07/2016,AGG,0.000179
89848,10/10/2016,AGG,-0.000448
89848,10/11/2016,AGG,-0.001524
89848,10/12/2016,AGG,0.000359
89848,10/13/2016,AGG,0.001436
89848,10/14/2016,AGG,-0.001703
89848,10/17/2016,AGG,0.001706
89848,10/18/2016,AGG,0.001613
89848,10/19/2016,AGG,0.000537
89848,10/20/2016,AGG,-0.000358
89848,10/21/2016,AGG,0.000626
89848,10/24/2016,AGG,-0.001520
89848,10/25/2016,AGG,0.000000
89848,10/26/2016,AGG,-0.001970
89848,10/27/2016,AGG,-0.002513
89848,10/28/2016,AGG,0.000000
89848,10/31/2016,AGG,0.001259
89848,11/01/2016,AGG,-0.000541
89848,11/02/2016,AGG,0.001171
89848,11/03/2016,AGG,-0.001349
89848,11/04/2016,AGG,0.002072
89848,11/07/2016,AGG,-0.001169
89848,11/08/2016,AGG,-0.001620
89848,11/09/2016,AGG,-0.009285
89848,11/10/2016,AGG,-0.004095
89848,11/11/2016,AGG,-0.001827
89848,11/14/2016,AGG,-0.004027
89848,11/15/2016,AGG,0.000735
89848,11/16/2016,AGG,0.002204
89848,11/17/2016,AGG,-0.003757
89848,11/18/2016,AGG,-0.003219
89848,11/21/2016,AGG,0.000830
89848,11/22/2016,AGG,0.000922
89848,11/23/2016,AGG,-0.003500
89848,11/25/2016,AGG,-0.000092
89848,11/28/2016,AGG,0.003513
89848,11/29/2016,AGG,0.001105
89848,11/30/2016,AGG,-0.003957
89848,12/01/2016,AGG,-0.003290
89848,12/02/2016,AGG,0.003157
89848,12/05/2016,AGG,0.000833
89848,12/06/2016,AGG,-0.000185
89848,12/07/2016,AGG,0.002590
